,RMSE mean,RMSE standard deviation,Hyperparameters
104,0.036819165916729124,0.0005185744112441371,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 4, 'gamma': 0.02, 'subsample': 0.5}"
105,0.03679647881329948,0.0007994390044600763,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 4, 'gamma': 0.02, 'subsample': 0.7}"
106,0.036771268739968596,0.0006333413006076693,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 4, 'gamma': 0.02, 'subsample': 0.6}"
107,0.03661230189626558,0.000547877562090464,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.025, 'max_depth': 4, 'gamma': 0.01, 'subsample': 0.5}"
108,0.03649993285269055,0.0005637331040550791,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 5, 'gamma': 0.01, 'subsample': 0.7}"
109,0.03641707029819302,0.0007527369415919869,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 2, 'gamma': 0.02, 'subsample': 0.7}"
110,0.036378694057770486,0.0005286105349952496,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 2, 'gamma': 0.02, 'subsample': 0.6}"
111,0.036375665441296855,0.0006014180934548286,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 2, 'gamma': 0.02, 'subsample': 0.5}"
112,0.03626764183317568,0.0006340863647624945,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.05, 'max_depth': 4, 'gamma': 0.02, 'subsample': 0.7}"
113,0.03625571745981099,0.0005724920462017347,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.05, 'max_depth': 4, 'gamma': 0.02, 'subsample': 0.5}"
114,0.036220872357362655,0.000536095978528538,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 5, 'gamma': 0.01, 'subsample': 0.6}"
